no_diacritics,with_diacritics
الصحاح في اللغةالصحاح في,الصّحّاح في اللغةالصّحّاح في
للأجهزة المحمولة لا توجد,للأجهزة المحمولة لا تُوجَدُ
كلمات أو تعابير مطابقة,كَلِمَاتٌ أو تَعَابِيرٌ مُطَابِقَةٌ
أو ذات صلة الباحث,أو ذَاتُ صِلَة الباحث
الصحاح في اللغةالصحاح في,الصّحّاح في اللغةالصّحّاح في
المصدر عرب العرب عرب,المصدر عرب العُرْبُ عرب
لسان العرب العرب والعرب,لسان العرب العُرْبُ والعَرَبُ
جيل من الناس معروف,جِيْلٌ من الناس معروف
خلاف العجم وهما واحد,خِلافُ العَجَم وهما واحدٌ
مثل العجم والعجم مؤنث,مثل العُجْمِ والعَجَم مؤنث
الجوهري العريب تصغير العرب,الجوهري العُرَيْبُ تصغير العَرَبِ
قال أبو الهندي واسمه,قال أبو الهِنْدِيّ واسمه
عبدالمؤمن ابن عبدالقدوس فأما,عَبْدُالمؤمن ابن عبدالقُدُوس فأَمَّا
البهط وحيتانكم فما زلت,البَهَطُ وحِيتَانُكُم فما زِلْتُ
فيها كثير السقم وقد,فيها كثيرَ السَّقَمْ وقد
نلت منها كما نلتم,نِلْتُ منها كما نِلْتُمُ
فلم أر فيها كضب,فلَمْ أرَ فيها كَضَبٍّ
هرم وما في البيوض,هَرِمْ وما في البُيُوضِ
كبيض الدجاج وبيض الجراد,كبَيْضِ الدَّجاج وبَيْضُ الجَرادِ
شفاء القرم ومكن الضباب,شِفاءُ القَرِمْ ومَكْنُ الضِّبابِ
طعام العريـ ـب لا,طَعامُ العُرَيْـ ـبِ لا
تشتهيه نفوس العجم صغرهم,تَشْتَهيهِ نفوسُ العَجَمْ صَغَّرهم
تعظيما كما قال أنا,تعظيماً كما قال أنا
جذيلها المحكك وعذيقها المرجب,جُذَيْلُها المُحَكَّكُ وعُذَيْقُها المُرَجَّبُ
والعرب العاربة هم الخلص,والعَرَبُ العارِبة هم الخُلَّصُ
منهم وأخذ من لفظه,منهم وأُخِذ من لَفْظه
فأكد به كقولك ليل,فأُكِّدَ به كقولك لَيلٌ
لائل تقول عرب عاربة,لائِلٌ تقول عَرَبٌ عارِبةٌ
وعرباء صرحاء ومتعربة ومستعربة,وعَرْباءُ صُرَحاءُ ومُتَعَرِّبةُ ومُسْتَعْرِبةٌ
دخلاء ليسوا بخلص والعربي,دُخَلاءُ ليسوا بخُلَّصٍ والعربي
لم يكن بدويا والأعرابي,لم يكن بدوياً والأعرابي
ليس الأعراب جمعا لعرب,ليس الأعراب جمعاً لعرب
كما كان الأنباط جمعا,كما كان الأنباط جمعاً
لنبط وإنما العرب اسم,لنبطٍ وإنما العرب اسم
العرب ثابتا وإن لم,العرب ثابتاً وإن لم
يكن فصيحا وجمعه العرب,يكن فصيحاً وجمعه العرب
معرب إذا كان فصيحا,معرب إذا كان فصيحاً
كان بدويا صاحب نجعة,كان بدوياً صاحب نجعة
الله عز وجل قالت,اللّه عز وجل قَالَتِ
الأعراب آمنا قل لم,الأَعْرَابُ آمَنَّا قُل لَّمْ
تؤمنوا ولكن قولوا أسلمنا,تُؤْمِنُوا وَلَكِن قُولُوا أَسْلَمْنَا
صلى الله عليه وسلم,صلى اللّه عليه وسلم
المدينة طمعا في الصدقات,المدينة طمعاً في الصدقات
فسماهم الله تعالى العرب,فسماهم اللّه تعالى العرب
ومثلهم الذين ذكرهم الله,ومثلْهم الذين ذكرهم اللّه
الأعراب أشد كفرا ونفاقا,الأَعْرابُ أَشدّ كُفراً ونِفاقاً
نعما ورعوا مساقط الغيث,نعماً ورعوا مساقط الغيث
تعربوا أي صاروا أعرابا,تعربوا أي صاروا أعراباً
بعدما كانوا عربا وفي,بعدما كانوا عرباً وفي
والمدن والنسبة إليهما أعرابي,والمدن والنسبة إليهما أعرابيٌّ
وعربي وفي الحديث ثلاث,وعربيٌّ وفي الحديث ثلاث
أن كان مهاجرا وكان,أن كان مهاجراً وكان
العذب من الشراب والطعام,العَذْبُ من الشَّرابِ والطَّعَامِ
كل مستساغوالعذب عذر يعدونه,كُلُّ مُسْتَسَاغٍوالعَذْبُ عذر يعدونه
على الحجاج يوما فقال,على الحجاج يوماً فقال
أعرابيا والعربية هي هذه,أعرابياً والعربية هي هذه
العرب لم سموا عربا,العرب لم سموا عرباً
أنطق الله لسانه بلغة,أنطق اللّه لسانه بلغة
عن النبي صلى الله,عن النبي صلى اللّه
وصالح وهود صلوات الله,وصالح وهود صلوات اللّه
اليمن وكانوا أهل عمد,اليمن وكانوا أهل عمدٍ
الله عليهم وسلم من,اللّه عليهم وسلم من
سموا عربا باسم بلدهم,سموا عرباً باسم بلدهم
صلى الله عليه وسلم,صلى اللّه عليه وسلم
من نهار ثم هي,من نهارٍ ثم هي
ترقرق في مناكبها الدماء,ترقرق في مناكبها الدماءُ
أباهم إسمعيل صلى الله,أباهم إسمعيل صلى اللّه
الصديق رضي الله عنه,الصديق رضي اللّه عنه
دارا وأحسنه جوارا وأعربه,داراً وأحسنه جواراً وأعربه
الأزهري وجعل الله عز,الأزهري وجعل اللّه عز
الله عليه وسلم عربيا,اللّه عليه وسلم عربياً
وجعل النبي صلى الله,وجعل النبي صلى اللّه
عليه وسلم عربيا لأنه,عليه وسلم عربياً لأنه
أن قوما من الأعراب,أن قوماً من الأعراب
معهم فيها سموا عربا,معهم فيها سموا عرباً
ولم يسموا أعرابا وتقول,ولم يسموا أعراباً وتقول
كان فصيحا وقال الليث,كان فصيحاً وقال الليث
البادية بعدما كان مقيما,البادية بعدما كان مقيماً
رملا وزرود يقول أقام,رملاً وزرود يقول أقام
صلى الله عليه وسلم,صلى اللّه عليه وسلم
سمي الإعراب إعرابا لتبيينه,سمي الإعراب إعراباً لتبيينه
إله إلا الله سبع,إله إلا اللّه سبع
أحسابا أي أبينهم وأوضحهم,أحساباً أي أبينهم وأوضحهم
أعرب الأعجمي إعرابا وتعرب,أعرب الأعجمي إعراباً وتعرب
تعربا واستعرب استعرابا كل,تعرباً واستعرب استعراباً كل
وأفصح الأغتم إفصاحا مثله,وأفصح الأغتم إفصاحاً مثله
وأعرب أحيانا بها فأصارح,وأعرب أحياناً بها فأصارح
يتق أحدا قال الكميت,يتقِّ أحداً قال الكميت
حم آية تأولها منا,حمِ آية تأولها منا
تقي معرب هكذا أنشده,تقيٌّ معربُ هكذا أنشده
سيبويه كمكلم وأورد الأزهري,سيبويه كَمُكَلِّمٍ وأورد الأزهري
مفصح بالحق لا يتوقاهم,مفصح بالحقِّ لا يتوقاهم
وقال الجوهري معرب مفصح,وقال الجوهري معربٌ مفصحٌ
بالتفصيل وتقي ساكت عنه,بالتفصيل وتقيٌّ ساكتٌ عنهُ
للتقية قال الأزهري والخطاب,للتقيّة قال الأزهري والخطاب
عليه أجرا إلا المودة,عليه أجراً إلا المودة
الكلام تعريبا وأعربت له,الكلام تعريباً وأعربت له
إعرابا إذا بينته له,إعراباً إذا بينته له
الراء كفصح وزنا ومعنى,الراء كفصح وزناً ومعنى
يعرب عربا وعروبا عن,يعرب عرباً وعروباً عن
ورجل عريب معرب وعربه,ورجل عريب معرب وعرّبه
البتي ما تقول في,البتّيُّ ما تقول في
وأعربته أيضا وأعرب الأغتم,وأعربته أيضاً وأعرب الأغتم
أي صار عربيا وتعرب,أي صار عربياً وتعرب
عربيا أي لا تنقشوا,عربياً أي لا تنقشوا
فيها محمد رسول الله,فيها محمد رسول اللّه
صلى الله عليه وسلم,صلى اللّه عليه وسلم
النبي صلى الله عليه,النبي صلى اللّه عليه
رضي الله عنه لا,رضي اللّه عنه لا
خيل أعرب وإبل أعرب,خيل أعرب وإبل أَعربٌ
طلق الإهماد وكرنا بالأعرب,طلقُ الإهماد وكرنا بالأعرب
تقود خيلا عرابا أي,تقود خيلاً عراباً أي
الرجل ملك خيلا عرابا,الرجل ملك خيلاً عراباً
أو إبلا عرابا أو,أو إبلاً عراباً أو
جوف الطوي صهيلا تبين,جوف الطويّ صهيلاً تبين
والتعريب أن يتخذ فرسا,والتعريب أن يتخذ فرساً
عربيا ورجل معرب معه,عربياً ورجل معربٌ معه
فرس عربي وفرس معرب,فرسٌ عربيٌّ وفرسٌ معربٌ
خلصت عربيته وعرب الفرس,خلصتْ عربيتهُ وعرّب الفرسَ
بزغه وذلك أن تنسف,بزَّغَهُ وذلك أنْ تنسفَ
أسفل حافره ومعناه أنه,أسفلَ حافرهُ ومعناهُ أنهُ
قد بان بذلك ما,قدْ بانَ بذلك ما
كان خفيا من أمره,كان خفيّاً من أمرهِ
لظهوره إلى مرآة العين,لظهورهِ إلى مرآةِ العينِ
بعد ما كان مستورا,بعد ما كان مستوراً
وبذلك تعرف حاله أصلب,وبذلك تُعرفُ حالهُ أصلبٌ
هو أم رخو وصحيح,هو أم رِخْوٌ وصحيح
الأزهري والتعريب تعريب الفرس,الأزهريُّ والتعريبُ تعريبُ الفرسِ
أشاعر حافره في مواضع,أشاعر حافره في مواضعَ
ثم يبزغ بمبزغ بزغا,ثمَّ يُبزَغُ بمَبْزِغٍ بَزْغَاً
رفيقا لا يؤثر في,رفيقاً لا يؤثر في
عصبه ليشتد أشعره وعرب,عصبه ليشتدّ أشعره وعرب
أن رجلا من المشركين,أن رجلاً من المشركين
الله عليه وسلم فقال,اللّه عليه وسلم فقال
والله لتكفن عن شتمه,واللّه لتكفنَّ عن شتمه
أو لأرحلنك بسيفي هذا,أو لأرحلنَّك بسيفي هذا
فلم يزدد إلا استعراضا,فلم يزدد إلا استعراضاً
الله عنه ما لكم,اللّه عنه ما لكم
أعراض الناس أن لا,أعراض الناس أنْ لا
عثم إن ذحول تذكرت,عثمٍ إنْ ذحولٌ تذكرت
أبو عمار العرب القاموس,أبو عمار العُرْبُ القاموس
المحيط العرب بالضم وبالتحريك,المحيط العُرْبُ بالضم وبالتحريكِ
خلاف العجم مؤنث وهم,خِلاف العَجَمِ مُؤَنَّثٌ وهُمْ
سكان الأمصار أو عام,سُكَّانُ الأمصار أو عامٌّ
والأعراب منهم سكان البادية,والأَعْرابُ منهم سُكَّانُ الباديةِ
لا واحد له ويجمع,لا واحدَ له ويُجْمَعُ
أعاريب وعرب عاربة وعرباء,أعاريبَ وعَرَبٌ عارِبَةٌ وعَرْباءُ
وعربة صرحاء ومتعربة ومستعربة,وعَرِبَةٌ صُرَحاءُ ومُتَعَرِّبَةٌ ومُسْتَعْرِبَةٌ
دخلاء وعربي بين العروبة,دُخَلاءُ وعَرَبيُّ بَيِّنُ العُروبَةِ
والعروبية والعربي شعير أبيض,والعُروبِيَّةِ والعَرَبِيُّ شَعيرٌ أبيض
وسنبله حرفان والإعراب الإبانة,وسُنْبُلُهُ حَرْفانِ والإِعْرابُ الإِبانَةُ
والإفصاحعن الشيء إجراء الفرس,والإِفْصاحُعن الشيءِ إجْراءُ الفَرَسِ
معرفتك بالفرس العربي من,مَعْرِفَتُك بالفَرَسِ العَرَبِيِّ من
الهجين إذا صهل وأن,الهَجينِ إذا صَهَلَ وأن
يصهل الفرس فيعرف عتقه,يَصْهَلَ الفَرَسُ فَيُعْرَفَ عُتْقُهُ
عتقه وسلامته من الهجنة,عِتْقُهُ وسَلامَتُهُ من الهُجْنةِ
وهذه خيل عراب وأعرب,وهذه خَيْلٌ عِرابٌ وأَعْرُبٌ
ومعربة وإبل عراب أن,ومُعْرِبَةٌ وإبِلٌ عِرابٌ أن
لا تلحن في الكلام,لا تَلْحَن في الكَلامِ
وأن يولد لك ولد,وأنْ يُولَدَ لَكَ ولَدٌ
عربي اللون والفحش وقبيح,عَرَبِيُّ اللَّوْنِ والفُحْشُ وقَبيحُ
الكلام كالتعريب والعرابة والاستعراب,الكَلامِ كالتَّعْريبِ والعِرَابَةِ والاسْتِعْرابِ
والرد عن القبيح ضد,والرَّدُّ عن القبيح ضِدُّ
والنكاح أو التعريض به,والنِّكاحُ أو التَّعْريضُ به
