,0,1
0,الصحاح في اللغةالصحاح,الصّحّاح في اللغةالصّحّاح
1,المحمولة لا توجد,المحمولة لا تُوجَدُ
2,كلمات أو تعابير,كَلِمَاتٌ أو تَعَابِيرٌ
3,مطابقة أو ذات,مُطَابِقَةٌ أو ذَاتُ
4,صلة الباحث الباحث,صِلَة الباحث الباحث
5,الصحاح في اللغةالصحاح,الصّحّاح في اللغةالصّحّاح
6,المصدر عرب العرب,المصدر عرب العُرْبُ
7,العرب والعرب جيل,العُرْبُ والعَرَبُ جِيْلٌ
8,خلاف العجم وهما,خِلافُ العَجَم وهما
9,واحد مثل العجم,واحدٌ مثل العُجْمِ
10,والعجم مؤنث وتصغيره,والعَجَم مؤنث وتصغيره
11,الجوهري العريب تصغير,الجوهري العُرَيْبُ تصغير
12,العرب قال أبو,العَرَبِ قال أبو
13,الهندي واسمه عبدالمؤمن,الهِنْدِيّ واسمه عَبْدُالمؤمن
14,ابن عبدالقدوس فأما,ابن عبدالقُدُوس فأَمَّا
15,البهط وحيتانكم فما,البَهَطُ وحِيتَانُكُم فما
16,زلت فيها كثير,زِلْتُ فيها كثيرَ
17,السقم وقد نلت,السَّقَمْ وقد نِلْتُ
18,منها كما نلتم,منها كما نِلْتُمُ
19,فلم أر فيها,فلَمْ أرَ فيها
20,كضب هرم وما,كَضَبٍّ هَرِمْ وما
21,في البيوض كبيض,في البُيُوضِ كبَيْضِ
22,الدجاج وبيض الجراد,الدَّجاج وبَيْضُ الجَرادِ
23,شفاء القرم ومكن,شِفاءُ القَرِمْ ومَكْنُ
24,الضباب طعام العريـ,الضِّبابِ طَعامُ العُرَيْـ
25,ـب لا تشتهيه,ـبِ لا تَشْتَهيهِ
26,نفوس العجم صغرهم,نفوسُ العَجَمْ صَغَّرهم
27,تعظيما كما قال,تعظيماً كما قال
28,أنا جذيلها المحكك,أنا جُذَيْلُها المُحَكَّكُ
29,وعذيقها المرجب والعرب,وعُذَيْقُها المُرَجَّبُ والعَرَبُ
30,العاربة هم الخلص,العارِبة هم الخُلَّصُ
31,منهم وأخذ من,منهم وأُخِذ من
32,لفظه فأكد به,لَفْظه فأُكِّدَ به
33,كقولك ليل لائل,كقولك لَيلٌ لائِلٌ
34,تقول عرب عاربة,تقول عَرَبٌ عارِبةٌ
35,وعرباء صرحاء ومتعربة,وعَرْباءُ صُرَحاءُ ومُتَعَرِّبةُ
36,ومستعربة دخلاء ليسوا,ومُسْتَعْرِبةٌ دُخَلاءُ ليسوا
37,بخلص والعربي منسوب,بخُلَّصٍ والعربي منسوب
38,لم يكن بدويا,لم يكن بدوياً
39,جمعا لعرب كما,جمعاً لعرب كما
40,كان الأنباط جمعا,كان الأنباط جمعاً
41,لنبط وإنما العرب,لنبطٍ وإنما العرب
42,ثابتا وإن لم,ثابتاً وإن لم
43,يكن فصيحا وجمعه,يكن فصيحاً وجمعه
44,كان فصيحا وإن,كان فصيحاً وإن
45,إذا كان بدويا,إذا كان بدوياً
46,وقول الله عز,وقول اللّه عز
47,وجل قالت الأعراب,وجل قَالَتِ الأَعْرَابُ
48,آمنا قل لم,آمَنَّا قُل لَّمْ
49,تؤمنوا ولكن قولوا,تُؤْمِنُوا وَلَكِن قُولُوا
50,أسلمنا فهؤلاء قوم,أَسْلَمْنَا فهؤلاء قوم
51,صلى الله عليه,صلى اللّه عليه
52,وسلم المدينة طمعا,وسلم المدينة طمعاً
53,فسماهم الله تعالى,فسماهم اللّه تعالى
54,العرب ومثلهم الذين,العرب ومثلْهم الذين
55,ذكرهم الله في,ذكرهم اللّه في
56,الأعراب أشد كفرا,الأَعْرابُ أَشدّ كُفراً
57,ونفاقا الآية قال,ونِفاقاً الآية قال
58,هجرتهم واقتنوا نعما,هجرتهم واقتنوا نعماً
59,أي صاروا أعرابا,أي صاروا أعراباً
60,بعدما كانوا عربا,بعدما كانوا عرباً
61,إليهما أعرابي وعربي,إليهما أعرابيٌّ وعربيٌّ
62,مهاجرا وكان من,مهاجراً وكان من
63,غير العذب من,غير العَذْبُ من
64,الشراب والطعام كل,الشَّرابِ والطَّعَامِ كُلُّ
65,على الحجاج يوما,على الحجاج يوماً
66,أعرابيا والعربية هي,أعرابياً والعربية هي
67,لم سموا عربا,لم سموا عرباً
68,من أنطق الله,من أنطق اللّه
69,النبي صلى الله,النبي صلى اللّه
70,الله عليهم وهذا,اللّه عليهم وهذا
71,أهل عمد وكان,أهل عمدٍ وكان
72,صلى الله عليهم,صلى اللّه عليهم
73,أنهم سموا عربا,أنهم سموا عرباً
74,النبي صلى الله,النبي صلى اللّه
75,من نهار ثم,من نهارٍ ثم
76,الدماء قال وأقامت,الدماءُ قال وأقامت
77,إسمعيل صلى الله,إسمعيل صلى اللّه
78,رضي الله عنه,رضي اللّه عنه
79,في العرب دارا,في العرب داراً
80,وأحسنه جوارا وأعربه,وأحسنه جواراً وأعربه
81,وجعل الله عز,وجعل اللّه عز
82,محمد صلى الله,محمد صلى اللّه
83,عليه وسلم عربيا,عليه وسلم عربياً
84,النبي صلى الله,النبي صلى اللّه
85,عليه وسلم عربيا,عليه وسلم عربياً
86,قوما من الأعراب,قوماً من الأعراب
87,فيها سموا عربا,فيها سموا عرباً
88,ولم يسموا أعرابا,ولم يسموا أعراباً
89,فصيحا وقال الليث,فصيحاً وقال الليث
90,بعدما كان مقيما,بعدما كان مقيماً
91,الموت رملا وزرود,الموت رملاً وزرود
92,النبي صلى الله,النبي صلى اللّه
93,الإعراب إعرابا لتبيينه,الإعراب إعراباً لتبيينه
94,إلا الله سبع,إلا اللّه سبع
95,السقيفة أعربهم أحسابا,السقيفة أعربهم أحساباً
96,الأعجمي إعرابا وتعرب,الأعجمي إعراباً وتعرب
97,تعربا واستعرب استعرابا,تعرباً واستعرب استعراباً
98,الأغتم إفصاحا مثله,الأغتم إفصاحاً مثله
99,أحيانا بها فأصارح,أحياناً بها فأصارح
100,بها ولم يتق,بها ولم يتقِّ
