,
ء,ء
ءئ,ءئ
ءة,ءة
ءح,ءح
ءد,ءد
ءر,ءر
ءزإ,ءزإ
ءس,ءس
ءط,ءط
ءؼ,ءؼ
ءفد,ءفد
ءك,ءك
ءن,ءن
ءه,ءه
ءو,ءو
ءى,ءى
ء,ءً
ءامنوا,ءَامَنُوا
ء,ءُ
ء,ءِ
ء,ءْ
ء,ءٓ
آ,آ
آآ,آآ
آآميين,آآميين
آأنت,آأَنْتَ
آؤ,آؤ
آإ,آإ
آإة,آإة
آب,آب
آباء,آباء
آباءهم,آباءهم
آباء,آباءً
آباء,آباءٌ
آباءهم,آباءَهم
آباؤكم,آباؤكم
آباؤنا,آباؤنا
آباؤهم,آباؤهم
آبائكم,آبائكم
آبائنا,آبائنا
آبائه,آبائه
آبائهم,آبائهم
آبائهن,آبائهن
آبائهنالشيخ,آبائهنالشيخ
آبائي,آبائي
آباد,آباد
آبادي,آبادي
آبار,آبار
آبارخاص,آبارخاص
آبارا,آبارًا
آباط,آباط
آبد,آبد
آبدة,آبدة
آبق,آبق
آبي,آبي
آباءنا,آبَاءَنَا
آباءهم,آبَاءَهُمْ
آباؤكم,آبَاؤُكُم
آباؤكم,آبَاؤُكُمْ
آباؤنا,آبَاؤُنَا
آباؤهم,آبَاؤُهُمْ
آبائكم,آبَائِكُمُ
آبائنا,آبَائِنَا
آبائه,آبَائِهِ
آبائهم,آبَائِهِمْ
آبائي,آبَائِي
آةن,آةن
آت,آت
آتاك,آتاك
آتاكم,آتاكم
آتانا,آتانا
آتاني,آتاني
آتاه,آتاه
آتاها,آتاها
آتاهم,آتاهم
آتت,آتت
آتكم,آتكم
آتلؾ,آتلؾ
آتنا,آتنا
آتوا,آتوا
آتي,آتي
آتيان,آتيان
آتية,آتية
آتيتني,آتيتني
آتيته,آتيتَه
آتيك,آتيك
آتينا,آتينا
آتيناكم,آتيناكم
آتيناه,آتيناه
آتيناها,آتيناها
آتيه,آتيه
آتيها,آتيها
آت,آتٍ
آتاك,آتَاكَ
آتاكم,آتَاكُمُ
آتاكم,آتَاكُمْ
آتانا,آتَانَا
آتاني,آتَانِيَ
آتاه,آتَاهُ
آتاهم,آتَاهُمُ
آتاهم,آتَاهُمْ
آتت,آتَتْ
آتوا,آتَوْا
آتيت,آتَيْتَ
آتيتنا,آتَيْتَنَا
آتيتني,آتَيْتَنِي
آتيتك,آتَيْتُكَ
آتيتموهن,آتَيْتُمُوهُنَّ
آتيتم,آتَيْتُمْ
آتينا,آتَيْنَا
آتيناك,آتَيْنَاكَ
آتيناكم,آتَيْنَاكُمْ
آتيناها,آتَيْنَاهَا
آتيناه,آتَيْنَاهُ
آتيناهم,آتَيْنَاهُمُ
آت,آتِ
آتنا,آتِنَا
آته,آتِه
آتها,آتِها
آتي,آتِي
آتيكم,آتِيكُمْ
آتيه,آتِيهِ
آتيهم,آتِيهِمْ
آتيه,آتِيَهْ
آثار,آثار
آثارا,آثاراً
آثارنا,آثارنا
آثاره,آثاره
آثارها,آثارها
آثارهد,آثارهد
آثارهم,آثارهم
آثارهما,آثارهما
آثارهن,آثارهِنّ
آثارا,آثارًا
آثار,آثارٌ
آثار,آثارٍ
آثار,آثارَ
آثاره,آثارَه
آثار,آثارُ
آثاره,آثارُه
آثارها,آثارُها
آثار,آثارِ
آثام,آثام
آثامهم,آثامهم
آثامي,آثامي
آثامهم,آثامِهم
آثر,آثر
آثرت,آثرت
آثرته,آثرته
آثرت,آثرتُ
آثره,آثره
آثروا,آثروا
آثرت,آثرَتْ
آثم,آثم
آثمة,آثمة
