الصحاح,الصّحّاح
في,في
اللغةالصحاح,اللغةالصّحّاح
في,في
للأجهزة,للأجهزة
المحمولة,المحمولة
لا,لا
توجد,تُوجَدُ
كلمات,كَلِمَاتٌ
أو,أو
تعابير,تَعَابِيرٌ
مطابقة,مُطَابِقَةٌ
أو,أو
ذات,ذَاتُ
صلة,صِلَة
الباحث,الباحث
الصحاح,الصّحّاح
في,في
اللغةالصحاح,اللغةالصّحّاح
في,في
المصدر,المصدر
عرب,عرب
العرب,العُرْبُ
عرب,عرب
لسان,لسان
العرب,العرب
العرب,العُرْبُ
والعرب,والعَرَبُ
جيل,جِيْلٌ
من,من
الناس,الناس
معروف,معروف
خلاف,خِلافُ
العجم,العَجَم
وهما,وهما
واحد,واحدٌ
مثل,مثل
العجم,العُجْمِ
والعجم,والعَجَم
مؤنث,مؤنث
الجوهري,الجوهري
العريب,العُرَيْبُ
تصغير,تصغير
العرب,العَرَبِ
قال,قال
أبو,أبو
الهندي,الهِنْدِيّ
واسمه,واسمه
عبدالمؤمن,عَبْدُالمؤمن
ابن,ابن
عبدالقدوس,عبدالقُدُوس
فأما,فأَمَّا
البهط,البَهَطُ
وحيتانكم,وحِيتَانُكُم
فما,فما
زلت,زِلْتُ
فيها,فيها
كثير,كثيرَ
السقم,السَّقَمْ
وقد,وقد
نلت,نِلْتُ
منها,منها
كما,كما
نلتم,نِلْتُمُ
فلم,فلَمْ
أر,أرَ
فيها,فيها
كضب,كَضَبٍّ
هرم,هَرِمْ
وما,وما
في,في
البيوض,البُيُوضِ
كبيض,كبَيْضِ
الدجاج,الدَّجاج
وبيض,وبَيْضُ
الجراد,الجَرادِ
شفاء,شِفاءُ
القرم,القَرِمْ
ومكن,ومَكْنُ
الضباب,الضِّبابِ
طعام,طَعامُ
العريـ,العُرَيْـ
ـب,ـبِ
لا,لا
تشتهيه,تَشْتَهيهِ
نفوس,نفوسُ
العجم,العَجَمْ
صغرهم,صَغَّرهم
تعظيما,تعظيماً
كما,كما
قال,قال
أنا,أنا
جذيلها,جُذَيْلُها
المحكك,المُحَكَّكُ
وعذيقها,وعُذَيْقُها
المرجب,المُرَجَّبُ
والعرب,والعَرَبُ
العاربة,العارِبة
هم,هم
الخلص,الخُلَّصُ
منهم,منهم
وأخذ,وأُخِذ
من,من
لفظه,لَفْظه
فأكد,فأُكِّدَ
به,به
كقولك,كقولك
ليل,لَيلٌ
لائل,لائِلٌ
تقول,تقول
عرب,عَرَبٌ
عاربة,عارِبةٌ
وعرباء,وعَرْباءُ
صرحاء,صُرَحاءُ
ومتعربة,ومُتَعَرِّبةُ
ومستعربة,ومُسْتَعْرِبةٌ
دخلاء,دُخَلاءُ
ليسوا,ليسوا
بخلص,بخُلَّصٍ
والعربي,والعربي
لم,لم
يكن,يكن
بدويا,بدوياً
والأعرابي,والأعرابي
ليس,ليس
الأعراب,الأعراب
جمعا,جمعاً
لعرب,لعرب
كما,كما
كان,كان
الأنباط,الأنباط
جمعا,جمعاً
لنبط,لنبطٍ
وإنما,وإنما
العرب,العرب
اسم,اسم
العرب,العرب
ثابتا,ثابتاً
وإن,وإن
لم,لم
يكن,يكن
فصيحا,فصيحاً
وجمعه,وجمعه
العرب,العرب
معرب,معرب
إذا,إذا
كان,كان
فصيحا,فصيحاً
كان,كان
بدويا,بدوياً
صاحب,صاحب
نجعة,نجعة
الله,اللّه
عز,عز
وجل,وجل
قالت,قَالَتِ
الأعراب,الأَعْرَابُ
آمنا,آمَنَّا
قل,قُل
لم,لَّمْ
تؤمنوا,تُؤْمِنُوا
ولكن,وَلَكِن
قولوا,قُولُوا
أسلمنا,أَسْلَمْنَا
صلى,صلى
الله,اللّه
عليه,عليه
وسلم,وسلم
المدينة,المدينة
طمعا,طمعاً
في,في
الصدقات,الصدقات
فسماهم,فسماهم
الله,اللّه
تعالى,تعالى
العرب,العرب
ومثلهم,ومثلْهم
الذين,الذين
ذكرهم,ذكرهم
الله,اللّه
الأعراب,الأَعْرابُ
أشد,أَشدّ
كفرا,كُفراً
ونفاقا,ونِفاقاً
نعما,نعماً
ورعوا,ورعوا
مساقط,مساقط
الغيث,الغيث
تعربوا,تعربوا
أي,أي
صاروا,صاروا
أعرابا,أعراباً
بعدما,بعدما
كانوا,كانوا
عربا,عرباً
وفي,وفي
والمدن,والمدن
والنسبة,والنسبة
إليهما,إليهما
أعرابي,أعرابيٌّ
وعربي,وعربيٌّ
وفي,وفي
الحديث,الحديث
ثلاث,ثلاث
أن,أن
كان,كان
مهاجرا,مهاجراً
وكان,وكان
العذب,العَذْبُ
من,من
الشراب,الشَّرابِ
والطعام,والطَّعَامِ
كل,كُلُّ
مستساغوالعذب,مُسْتَسَاغٍوالعَذْبُ
عذر,عذر
يعدونه,يعدونه
على,على
الحجاج,الحجاج
يوما,يوماً
فقال,فقال
أعرابيا,أعرابياً
والعربية,والعربية
هي,هي
هذه,هذه
العرب,العرب
لم,لم
سموا,سموا
عربا,عرباً
أنطق,أنطق
الله,اللّه
لسانه,لسانه
بلغة,بلغة
عن,عن
النبي,النبي
صلى,صلى
الله,اللّه
وصالح,وصالح
وهود,وهود
صلوات,صلوات
الله,اللّه
اليمن,اليمن
وكانوا,وكانوا
أهل,أهل
عمد,عمدٍ
الله,اللّه
عليهم,عليهم
وسلم,وسلم
من,من
سموا,سموا
عربا,عرباً
باسم,باسم
بلدهم,بلدهم
صلى,صلى
الله,اللّه
عليه,عليه
وسلم,وسلم
من,من
نهار,نهارٍ
ثم,ثم
هي,هي
ترقرق,ترقرق
في,في
مناكبها,مناكبها
الدماء,الدماءُ
أباهم,أباهم
إسمعيل,إسمعيل
صلى,صلى
الله,اللّه
الصديق,الصديق
رضي,رضي
الله,اللّه
عنه,عنه
دارا,داراً
وأحسنه,وأحسنه
جوارا,جواراً
وأعربه,وأعربه
الأزهري,الأزهري
وجعل,وجعل
الله,اللّه
عز,عز
الله,اللّه
عليه,عليه
وسلم,وسلم
عربيا,عربياً
وجعل,وجعل
النبي,النبي
صلى,صلى
الله,اللّه
عليه,عليه
وسلم,وسلم
عربيا,عربياً
لأنه,لأنه
أن,أن
قوما,قوماً
من,من
الأعراب,الأعراب
معهم,معهم
فيها,فيها
سموا,سموا
عربا,عرباً
ولم,ولم
يسموا,يسموا
أعرابا,أعراباً
وتقول,وتقول
كان,كان
فصيحا,فصيحاً
وقال,وقال
الليث,الليث
البادية,البادية
بعدما,بعدما
كان,كان
مقيما,مقيماً
رملا,رملاً
وزرود,وزرود
يقول,يقول
أقام,أقام
صلى,صلى
الله,اللّه
عليه,عليه
وسلم,وسلم
سمي,سمي
الإعراب,الإعراب
إعرابا,إعراباً
لتبيينه,لتبيينه
إله,إله
إلا,إلا
الله,اللّه
سبع,سبع
أحسابا,أحساباً
أي,أي
أبينهم,أبينهم
وأوضحهم,وأوضحهم
أعرب,أعرب
الأعجمي,الأعجمي
إعرابا,إعراباً
وتعرب,وتعرب
تعربا,تعرباً
واستعرب,واستعرب
استعرابا,استعراباً
كل,كل
وأفصح,وأفصح
الأغتم,الأغتم
إفصاحا,إفصاحاً
مثله,مثله
وأعرب,وأعرب
أحيانا,أحياناً
بها,بها
فأصارح,فأصارح
يتق,يتقِّ
أحدا,أحداً
قال,قال
الكميت,الكميت
حم,حمِ
آية,آية
تأولها,تأولها
منا,منا
تقي,تقيٌّ
معرب,معربُ
هكذا,هكذا
أنشده,أنشده
سيبويه,سيبويه
كمكلم,كَمُكَلِّمٍ
وأورد,وأورد
الأزهري,الأزهري
مفصح,مفصح
بالحق,بالحقِّ
لا,لا
يتوقاهم,يتوقاهم
وقال,وقال
الجوهري,الجوهري
معرب,معربٌ
مفصح,مفصحٌ
بالتفصيل,بالتفصيل
وتقي,وتقيٌّ
ساكت,ساكتٌ
عنه,عنهُ
للتقية,للتقيّة
قال,قال
الأزهري,الأزهري
والخطاب,والخطاب
عليه,عليه
أجرا,أجراً
إلا,إلا
المودة,المودة
الكلام,الكلام
تعريبا,تعريباً
وأعربت,وأعربت
له,له
إعرابا,إعراباً
إذا,إذا
بينته,بينته
له,له
الراء,الراء
كفصح,كفصح
وزنا,وزناً
ومعنى,ومعنى
يعرب,يعرب
