0
0m 28s (- -1m 31s) 1000 2.8467 0
0m 58s (- -1m 1s) 2000 2.8102 0
1m 26s (- -2m 33s) 3000 2.5937 0
1m 55s (- -2m 4s) 4000 2.6929 0
2m 26s (- -3m 33s) 5000 2.6000 0
2m 57s (- -3m 2s) 6000 2.6935 0
3m 28s (- -4m 31s) 7000 2.6358 0
4m 0s (- -5m 59s) 8000 2.5729 0
4m 32s (- -5m 27s) 9000 2.4818 0
5m 3s (- -6m 56s) 10000 2.4962 0
5m 34s (- -6m 25s) 11000 2.4627 0
6m 6s (- -7m 53s) 12000 2.4160 0
0.0090,2.9223
(0.06156048675733715, 0.0)
1
6m 48s (- -7m 11s) 1000 2.5904 1
7m 19s (- -8m 40s) 2000 2.3983 1
7m 49s (- -8m 10s) 3000 2.1749 1
8m 21s (- -9m 39s) 4000 2.2447 1
8m 52s (- -9m 7s) 5000 2.0868 1
9m 24s (- -10m 35s) 6000 2.2197 1
9m 55s (- -10m 4s) 7000 2.1078 1
10m 29s (- -11m 30s) 8000 2.0711 1
11m 3s (- -12m 56s) 9000 1.9600 1
11m 34s (- -12m 25s) 10000 2.0026 1
12m 8s (- -13m 51s) 11000 1.9673 1
12m 40s (- -13m 20s) 12000 1.9437 1
0.0070,2.1054
(0.08088761632068718, 0.0)
2
13m 32s (- -14m 28s) 1000 2.1318 2
14m 10s (- -15m 50s) 2000 1.9522 2
14m 45s (- -15m 15s) 3000 1.7586 2
15m 20s (- -16m 39s) 4000 1.8464 2
15m 57s (- -16m 2s) 5000 1.7151 2
16m 36s (- -17m 23s) 6000 1.8212 2
17m 14s (- -18m 46s) 7000 1.7478 2
17m 52s (- -18m 8s) 8000 1.7145 2
18m 30s (- -19m 29s) 9000 1.6031 2
19m 7s (- -20m 52s) 10000 1.6772 2
19m 43s (- -20m 16s) 11000 1.6356 2
20m 21s (- -21m 38s) 12000 1.6044 2
0.0056,1.8866
(0.09520400858983537, 0.0)
3
21m 12s (- -22m 48s) 1000 1.7963 3
21m 49s (- -22m 11s) 2000 1.6354 3
22m 26s (- -23m 34s) 3000 1.4563 3
23m 4s (- -24m 56s) 4000 1.5641 3
23m 39s (- -24m 20s) 5000 1.4412 3
24m 17s (- -25m 42s) 6000 1.5355 3
24m 52s (- -25m 8s) 7000 1.4923 3
25m 28s (- -26m 31s) 8000 1.4485 3
26m 1s (- -27m 58s) 9000 1.3546 3
26m 32s (- -27m 27s) 10000 1.4344 3
27m 3s (- -28m 56s) 11000 1.3946 3
27m 36s (- -28m 23s) 12000 1.3673 3
0.0050,1.8494
(0.11954187544738726, 0.0023584905660377358)
4
28m 20s (- -29m 41s) 1000 1.5553 4
28m 52s (- -29m 8s) 2000 1.3982 4
29m 23s (- -30m 36s) 3000 1.2442 4
29m 54s (- -30m 5s) 4000 1.3468 4
30m 26s (- -31m 33s) 5000 1.2359 4
30m 59s (- -31m 0s) 6000 1.3312 4
31m 30s (- -32m 29s) 7000 1.2980 4
32m 5s (- -33m 55s) 8000 1.2572 4
32m 36s (- -33m 23s) 9000 1.1718 4
33m 7s (- -34m 52s) 10000 1.2436 4
33m 39s (- -34m 20s) 11000 1.2212 4
34m 10s (- -35m 49s) 12000 1.1924 4
0.0040,1.3779
(0.13743736578382248, 0.0047169811320754715)
5
34m 52s (- -35m 9s) 1000 1.3789 5
35m 24s (- -36m 36s) 2000 1.2223 5
35m 55s (- -36m 5s) 3000 1.0870 5
